Symbol,Dataset
CCK,http://www.crowncork.com
DVA,http://www.davita.com
BRO,http://www.bbinsurance.com
HBAN,http://www.huntington.com
AVY,http://www.averydennison.com
CHRW,http://www.chrobinson.com
HAS,http://www.hasbro.com
GH,http://guardanthealth.com
ENTG,http://www.entegris.com
GRFS,http://www.grifols.com
BEN,http://www.franklinresources.com
WYNN,http://www.wynnresorts.com
ARES,http://www.aresmgmt.com
FDS,http://www.factset.com
NUAN,http://www.nuance.com
LNT,http://www.alliantenergy.com
NLOK,http://www.nortonLifeLock.com
CRSP,http://www.crisprtx.com
WPC,http://www.wpcarey.com
MOH,http://www.molinahealthcare.com
CRL,http://www.criver.com
OTEX,http://www.opentext.com
BF.A,http://www.brown-forman.com
SAM,http://www.bostonbeer.com
L,http://www.loews.com
ENIA,http://www.enelamericas.com
HWM,http://www.howmet.com
GGG,http://www.graco.com
TECH,http://www.bio-techne.com
BAH,http://www.boozallen.com
ZNH,http://www.csair.com
PPD,http://www.ppd.com
EVRG,http://www.evergyinc.com
JKHY,http://www.jackhenry.com
QGEN,http://www.qiagen.com
NLY,http://www.annaly.com
IPGP,http://www.ipgphotonics.com
DT,http://www.dynatrace.com
CHGG,http://www.chegg.com
FBHS,http://www.fbhs.com
IEP,http://www.ielp.com
WRB,http://www.berkley.com
RDY,http://www.drreddys.com
ATHM,http://www.autohome.com.cn
RPM,http://www.rpminc.com
PHM,http://www.pultegroup.com
ATO,http://www.atmosenergy.com
ERIE,http://www.erieinsurance.com
FIVN,http://www.five9.com
CNP,http://www.centerpointenergy.com
MPW,http://www.medicalpropertiestrust.com
SBSW,http://www.sibanyestillwater.com
GSX,http://www.baijiahulian.com
PCTY,http://www.paylocity.com
WRK,http://www.westrock.com
BILL,http://www.bill.com
UHS,http://www.uhsinc.com
RARE,http://www.ultragenyx.com
NDSN,http://www.nordson.com
LW,http://www.lambweston.com
MRTX,http://www.mirati.com
FNF,http://www.fnf.com
XRAY,http://www.dentsplysirona.com
WHR,http://www.whirlpoolcorp.com
CREE,http://www.cree.com
SQM,http://www.sqm.com
KL,http://www.klgold.com
WTRG,http://www.essential.co
EQH,http://www.equitableholdings.com
DNB,http://www.dnb.com
ELS,http://www.equitylifestyleproperties.com
ZLAB,http://www.zailaboratory.com
CG,http://www.carlyle.com
UDR,http://www.udr.com
LKQ,http://www.lkqcorp.com
